what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1361408158542
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice.ui",1361408158604
started,bundle,org.eclipse.jst.jee.ui,1.0.304.v201101272100,"org.eclipse.jst.jee.ui",1361408158604
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.201.v201011231540,"org.eclipse.jst.ws.jaxrs.core",1361408158636
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1361408158651
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1361408158651
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1361408158714
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1361408158729
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1361408158808
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1361408158854
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1361408158948
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1361408159058
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1361408159151
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1361408159229
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1361408159292
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1361408159292
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1361408159339
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1361408159479
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1361408159495
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1361408159589
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1361408159714
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1361408159792
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1361408159886
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1361408159964
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1361408160026
started,bundle,org.eclipse.wst.common.modulecore,1.2.5.v201101270100,"org.eclipse.wst.common.modulecore",1361408160120
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1361408160120
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1361408160214
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1361408160245
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1361408160245
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1361408160308
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1361408160386
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1361408160448
started,bundle,com.google.appengine.eclipse.core,2.3.0.r36v201104261928,"com.google.appengine.eclipse.core",1361408160448
started,bundle,com.google.gdt.eclipse.core,2.3.0.r36v201104261928,"com.google.gdt.eclipse.core",1361408160464
started,bundle,com.google.gdt.eclipse.login,2.3.0.r36v201104261928,"com.google.gdt.eclipse.login",1361408160464
started,bundle,com.google.gdt.eclipse.managedapis,2.3.0.r36v201104261928,"com.google.gdt.eclipse.managedapis",1361408160464
os,sysinfo,,,"win32",1361408160464
arch,sysinfo,,,"x86",1361408160464
ws,sysinfo,,,"win32",1361408160464
locale,sysinfo,,,"pt_BR",1361408160464
processors,sysinfo,,,"1",1361408160464
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1361408160464
java.runtime.version,sysinfo,,,"1.7.0_11-b21",1361408160464
java.specification.name,sysinfo,,,"Java Platform API Specification",1361408160464
java.specification.vendor,sysinfo,,,"Oracle Corporation",1361408160464
java.specification.version,sysinfo,,,"1.7",1361408160464
java.vendor,sysinfo,,,"Oracle Corporation",1361408160464
java.version,sysinfo,,,"1.7.0_11",1361408160464
java.vm.info,sysinfo,,,"mixed mode, sharing",1361408160464
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1361408160464
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1361408160464
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1361408160464
java.vm.specification.version,sysinfo,,,"1.7",1361408160464
java.vm.vendor,sysinfo,,,"Oracle Corporation",1361408160464
java.vm.version,sysinfo,,,"23.6-b04",1361408160464
started,bundle,org.eclipse.jst.servlet.ui,1.1.404.v201101270100,"org.eclipse.jst.servlet.ui",1361408160698
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1361408160886
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1361408160995
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1361408161073
started,bundle,org.eclipse.wb.core.lib,0.9.0.r36x201104251542,"org.eclipse.wb.core.lib",1361408161089
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1361408161792
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1361408161792
started,bundle,org.eclipse.wb.core,0.9.0.r36x201104251542,"org.eclipse.wb.core",1361408161933
